p_relation_id,child_name,child_id,child_unit,parent_name,parent_id,parent_unit,first_date,last_date
78,Hoover Institution,https://openalex.org/P4310316866,0,Stanford University,https://openalex.org/P4310316103,17,,
112,IEEE Antennas & Propagation Society,https://openalex.org/P4310320753,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
111,IEEE Communications Society,https://openalex.org/P4310316002,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
170,IEEE Computer Society,https://openalex.org/P4310320439,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
315,IEEE Council on Superconductivity,https://openalex.org/P4310321340,82,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
66,IEEE Education Society,https://openalex.org/P4310322189,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
195,IEEE Engineering in Medicine and Biology Society,https://openalex.org/P4310322504,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
243,IEEE Magnetics Society,https://openalex.org/P4310320755,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
219,IEEE Photonics Society,https://openalex.org/P4310322178,84,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
31,IEEE Power & Energy Society,https://openalex.org/P4310322244,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
206,IEEE Sensors Council,https://openalex.org/P4310321027,0,Institute of Electrical and Electronics Engineers,https://openalex.org/P4310319808,159,,
129,Ilmin International Relations Institute,https://openalex.org/P4310319510,0,Korea University,https://openalex.org/P4310319515,8,,
204,Indiana University Bloomington,https://openalex.org/P4310315935,0,Indiana University,https://openalex.org/P4310315561,14,,
317,Indiana University Press,https://openalex.org/P4310319732,270,Indiana University,https://openalex.org/P4310315561,14,,
86,Indiana University – Purdue University Indianapolis,https://openalex.org/P4310316241,0,Indiana University,https://openalex.org/P4310315561,14,,
255,Institute for Condensed Matter Physics of NAS of Ukraine,https://openalex.org/P4310322216,0,National Academy of Sciences of Ukraine,https://openalex.org/P4310321802,181,,
249,"Institute for Russian, East European and Eurasian Studies",https://openalex.org/P4310322609,0,Seoul National University,https://openalex.org/P4310319466,12,,
73,Institute of Archaeology of the Czech Academy of Sciences,https://openalex.org/P4310314410,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
6,Institute of Archeology and Ethnology of the Polish Academy of Sciences,https://openalex.org/P4310317278,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
185,Institute of Arctic and Alpine Research,https://openalex.org/P4310316321,0,University of Colorado Boulder,https://openalex.org/P4310316710,32,,
120,Institute of Art History of the Czech Academy of Sciences,https://openalex.org/P4310314347,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
138,Institute of Art of the Polish Academy of Sciences,https://openalex.org/P4310317414,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
126,Institute of Contemporary History of the Czech Academy of Sciences,https://openalex.org/P4310314349,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
80,"Institute of Czech Literature, Czech Academy of Sciences",https://openalex.org/P4310314425,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
56,Institute of Entomology,https://openalex.org/P4310314203,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
217,"Institute of Ethnology, Czech Academy of Sciences",https://openalex.org/P4310314208,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
59,Institute of Experimental Botany of the Czech Academy of Sciences,https://openalex.org/P4310314217,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
130,Institute of History,https://openalex.org/P4310317331,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
263,"Institute of History, Czech Academy of Sciences",https://openalex.org/P4310314215,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
235,Institute of Information Theory and Automation of the Czech Academy of Sciences,https://openalex.org/P4310314340,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
165,"Institute of Mathematics and Statistics, University of São Paulo",https://openalex.org/P4310311977,0,University of São Paulo,https://openalex.org/P4310312331,231,,
214,Institute of Mathematics of the Czech Academy of Sciences,https://openalex.org/P4310322158,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
215,Institute of Mathematics of the National Academy of Sciences of Ukraine,https://openalex.org/P4310322009,0,National Academy of Sciences of Ukraine,https://openalex.org/P4310321802,181,,
85,Institute of Molecular Biology and Genetics of NASU,https://openalex.org/P4310322512,0,National Academy of Sciences of Ukraine,https://openalex.org/P4310321802,181,,
134,"Institute of Nature Conservation, Polish Academy of Sciences",https://openalex.org/P4310317262,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
233,Institute of Paleobiology,https://openalex.org/P4310317382,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
173,Institute of Parasitology of the Czech Academy of Sciences,https://openalex.org/P4310314179,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
260,Institute of Philosophy and Sociology of the Polish Academy of Sciences,https://openalex.org/P4310317267,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
244,"Institute of Philosophy, Czech Academy of Sciences",https://openalex.org/P4310314380,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
83,Institute of Physiology of the Czech Academy of Sciences,https://openalex.org/P4310314155,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
147,Institute of Rock Structure and Mechanics,https://openalex.org/P4310314336,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
271,Institute of Slavic Studies,https://openalex.org/P4310317433,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
94,Institute of Slavonic Studies of the Academy of Sciences of the Czech Republic,https://openalex.org/P4310314301,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
177,Institute of Sociology,https://openalex.org/P4310320060,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
60,Institute of Sociology,https://openalex.org/P4310312601,0,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences,https://openalex.org/P4310312667,208,,
193,"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",https://openalex.org/P4310317334,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
250,Institute of the Czech Language,https://openalex.org/P4310314297,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
167,Institute of the Polish Language,https://openalex.org/P4310320653,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
93,Institute of Vertebrate Biology,https://openalex.org/P4310314228,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
92,International Institute of Political Science of Masaryk University,https://openalex.org/P4310319775,0,Masaryk University,https://openalex.org/P4310314295,175,,
192,International Monetary Fund,https://openalex.org/P4310316166,0,United Nations,https://openalex.org/P4310321776,289,,
316,International Union of Crystallography,https://openalex.org/P4310320555,163,Wiley,https://openalex.org/P4310320595,242,,
132,Ioffe Institute,https://openalex.org/P4310321811,0,Academy of Sciences of the USSR,https://openalex.org/P4310321756,35,,
268,IOP Publishing,https://openalex.org/P4310320083,251,Institute of Physics,https://openalex.org/P4310311669,161,,
326,IOS Press,https://openalex.org/P4310318577,164,SAGE Publishing,https://openalex.org/P4310320017,210,2023-01-01,
336,IOS Press,https://openalex.org/P4310318577,164,,,164,1987-01-01,2022-12-31
225,J.B. Metzler,https://openalex.org/P4310319879,0,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
153,John F. Kennedy School of Government,https://openalex.org/P4310321322,0,Harvard University,https://openalex.org/P4310316284,11,,
200,Johns Hopkins University Press,https://openalex.org/P4310315678,70,Johns Hopkins University,https://openalex.org/P4310316510,18,,
124,Kielanowski Institute of Animal Physiology and Nutrition,https://openalex.org/P4310317420,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
146,King's College London,https://openalex.org/P4310311857,0,University of London,https://openalex.org/P4310311730,27,,
274,Lebedev Physical Institute,https://openalex.org/P4310321277,0,Academy of Sciences of the USSR,https://openalex.org/P4310321756,35,,
128,Library of the Czech Academy of Sciences,https://openalex.org/P4310314437,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
189,Lippincott Williams & Wilkins,https://openalex.org/P4310315671,83,Wolters Kluwer,https://openalex.org/P4310318547,243,,
172,"Ljubljana University Press, Faculty of Arts",https://openalex.org/P4310314509,0,University of Ljubljana,https://openalex.org/P4310314477,33,,
270,MAIK Nauka/Interperiodica,https://openalex.org/P4310319820,0,Pleiades Publishing,https://openalex.org/P4310320267,192,,
55,Mary Lou Fulton Teachers College,https://openalex.org/P4310315688,0,Arizona State University,https://openalex.org/P4310316012,13,,
155,Masaryk Institute and Archive,https://openalex.org/P4310320047,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
196,Masaryk University Faculty of Science,https://openalex.org/P4310314144,0,Masaryk University,https://openalex.org/P4310314295,175,,
47,Max Planck Institute for Demographic Research,https://openalex.org/P4310313747,0,Max Planck Society,https://openalex.org/P4310313913,7,,
87,Max Planck Institute for Legal History and Legal Theory,https://openalex.org/P4310313864,0,Max Planck Society,https://openalex.org/P4310313913,7,,
230,Medknow,https://openalex.org/P4310320448,179,Wolters Kluwer,https://openalex.org/P4310318547,243,,
76,Michigan State University College of Law,https://openalex.org/P4310316856,0,Michigan State University,https://openalex.org/P4310316364,9,,
327,Michigan State University Press,https://openalex.org/P4310315741,264,Michigan State University,,9,,
318,Michigan State University Press,https://openalex.org/P4310315741,264,Michigan State University,https://openalex.org/P4310316364,9,,
41,Museum and Institute of Zoology,https://openalex.org/P4310317502,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
39,Museum of Comparative Zoology,https://openalex.org/P4310316030,0,Harvard University,https://openalex.org/P4310316284,11,,
71,Museum of Zoology of the University of São Paulo,https://openalex.org/P4310312546,0,University of São Paulo,https://openalex.org/P4310312331,231,,
227,MVS Medizinverlage Stuttgart,https://openalex.org/P4310319922,0,Thieme Medical Publishers (Germany),https://openalex.org/P4310320000,227,,
97,National Institute of Environmental Health Sciences,https://openalex.org/P4310319799,0,National Institutes of Health,https://openalex.org/P4310316754,36,,
123,National Institute on Alcohol Abuse and Alcoholism,https://openalex.org/P4310315807,0,National Institutes of Health,https://openalex.org/P4310316754,36,,
337,Nature Portfolio,https://openalex.org/P4310319908,182,Macmillan Publishers,https://openalex.org/P4310319964,38,1999-01-01,2015-04-30
216,Nature Portfolio,https://openalex.org/P4310319908,182,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
346,Nature Publishing Group,https://openalex.org/P4366736682,182,Macmillan Publishers,https://openalex.org/P4310319964,38,1999-01-01,2015-04-30
330,Nature Publishing Group,https://openalex.org/P4366736682,182,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
169,Nauka,https://openalex.org/P4310320007,0,Russian Academy of Sciences,https://openalex.org/P4310320535,208,,
1,Nencki Institute of Experimental Biology,https://openalex.org/P4310317444,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
299,New York University Press,,43,New York University,https://openalex.org/P4310315946,19,,
118,New York University School of Law,https://openalex.org/P4310316021,0,New York University,https://openalex.org/P4310315946,19,,
