child_id,publisher
https://openalex.org/P4310320007,Russian Academy of Sciences
https://openalex.org/P4310317444,Polish Academy of Sciences
NA,New York University
https://openalex.org/P4310316021,New York University
https://openalex.org/P4310319939,C.H. Beck
https://openalex.org/P4323430492,C.H. Beck
https://openalex.org/P4310314309,Czech Academy of Sciences
https://openalex.org/P4310319703,Springer Nature
https://openalex.org/P4310316868,World Health Organization
https://openalex.org/P4310320267,Springer Nature
https://openalex.org/P4310320460,Bristol University Press
https://openalex.org/P4310311608,Biochemical Society
https://openalex.org/P4310315874,Princeton University
https://openalex.org/P4310314315,Charles University
https://openalex.org/P4310313016,OMICS Publishing Group
NA,Nomos
https://openalex.org/P4310319847,Taylor & Francis
https://openalex.org/P4310320479,Elsevier BV
https://openalex.org/P4310313753,Thieme Medical Publishers (Germany)
https://openalex.org/P4310312461,University of São Paulo
https://openalex.org/P4310311649,University of London
https://openalex.org/P4310321726,OMICS Publishing Group
https://openalex.org/P4310312755,Russian Academy of Sciences
https://openalex.org/P4310319985,Springer Nature
https://openalex.org/P4310319842,Springer Science+Business Media
https://openalex.org/P4310319972,Springer Nature
https://openalex.org/P4310320090,Springer Nature
https://openalex.org/P4310320108,Springer Nature
https://openalex.org/P4310319900,Springer Nature
https://openalex.org/P4310321666,Springer Nature
https://openalex.org/P4310319986,Springer Nature
https://openalex.org/P4310314168,Czech Academy of Sciences
https://openalex.org/P4310316106,"University of California, Berkeley"
https://openalex.org/P4310316407,"University of California, Los Angeles"
https://openalex.org/P4310315794,"University of California, Los Angeles"
https://openalex.org/P4310315942,"University of California, Los Angeles"
https://openalex.org/P4310316161,"University of California, Los Angeles"
https://openalex.org/P4310311059,United Nations
https://openalex.org/P4310314114,Aschehoug
https://openalex.org/P4310315392,National University of Ireland
https://openalex.org/P4310315388,National University of Ireland
https://openalex.org/P4310311798,University of London
https://openalex.org/P4310322727,Goethe University Frankfurt
https://openalex.org/P4310316178,University of California
https://openalex.org/P4310316198,University of California
https://openalex.org/P4310315571,University of California
https://openalex.org/P4310315575,University of California
https://openalex.org/P4310315789,University of California
https://openalex.org/P4310315693,University of California
https://openalex.org/P4310316229,University of California
https://openalex.org/P4310315672,University of Chicago
https://openalex.org/P4310316710,University of Colorado
https://openalex.org/P4310316787,University of Colorado
https://openalex.org/P4310315997,University of Georgia
https://openalex.org/P4310315934,University of Michigan
